Tenant,Sale Location,,,,,,,,,,,,,,,,,,,Location Segment,Market,,,,,,,,,,,,,,,,,,,
GWMC,WCED0107,,,,,,,,,,,,,,,,,,,WCED0107,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_MMSTRCS_51ST_AVE,,,,,,,,,,,,,,,,,,,SAED010,,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0109,,,,,,,,,,,,,,,,,,,WCVN0109,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0108,,,,,,,,,,,,,,,,,,,WCVN0108,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,WCTR0119,,,,,,,,,,,,,,,,,,,WCTR0119,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCWN0102,,,,,,,,,,,,,,,,,,,WCWN0102,Windsor,,,,,,,,,,,,,,,,,,,
GWMC,WCBU0102,,,,,,,,,,,,,,,,,,,WCBU0102,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,WCOT0106,,,,,,,,,,,,,,,,,,,WCOT0106,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,ONOTW_MMSTRCS_NORTHSIDE,,,,,,,,,,,,,,,,,,,WCOT0107,Ottawa,,,,,,,,,,,,,,,,,,,
GWMC,WCPC0101,,,,,,,,,,,,,,,,,,,WCPC0101,Toronto,,,,,,,,,,,,,,,,,,,
GWMC,BCVAN_MMSTRCS_DENMAN_ST,,,,,,,,,,,,,,,,,,,WCVN0110,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_MMSTRCS_11TH_STREET,,,,,,,,,,,,,,,,,,,WCCA0115,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ABCAL_MMSTRCS_BOWNESS_ROAD,,,,,,,,,,,,,,,,,,,WCCA0116,Calgary,,,,,,,,,,,,,,,,,,,
GWMC,ONSTC_MMSTRCS_LAKE_STREET,,,,,,,,,,,,,,,,,,,WCSS0103,St. Catharines,,,,,,,,,,,,,,,,,,,
GWMC,ONWEL_MMSTRCS_LINCOLN_ST,,,,,,,,,,,,,,,,,,,WCWE0101,Kitchener,,,,,,,,,,,,,,,,,,,
GWMC,WCVN0111,,,,,,,,,,,,,,,,,,,WCVN0111,Vancouver,,,,,,,,,,,,,,,,,,,
GWMC,ABEDM_MMSTRCS_JASPER_AVE,,,,,,,,,,,,,,,,,,,SAED010,Edmonton,,,,,,,,,,,,,,,,,,,
GWMC,WCBU0103,,,,,,,,,,,,,,,,,,,WCBU0103,Toronto,,,,,,,,,,,,,,,,,,,
