Campaign Code,Charge Type,,,,,,,,,,,,,,,,,,,Discount %,Max CAP,Event Type,Event Subtype,Invoice Section,,,,,,,,,,,,,,,,
$120 MyTab Bonus Savings,TAB,,,,,,,,,,,,,,,,,,,100,120,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
Event 25% off $60+ x 24mo,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
Trial 25% off $60+ x 24mo,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
BPO $60 MyTab Savings,TAB,,,,,,,,,,,,,,,,,,,100,60,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
BPO $120 MyTab Savings,TAB,,,,,,,,,,,,,,,,,,,100,120,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
25% off for 3 months,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
WBB 25% off $80+,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
15% off for 12months,MRC,,,,,,,,,,,,,,,,,,,15,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
25% off for 12months,MRC,,,,,,,,,,,,,,,,,,,25,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
30E 30% Off x 24 Months,MRC,,,,,,,,,,,,,,,,,,,30,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
FR1 50% Off x 24 Months,MRC,,,,,,,,,,,,,,,,,,,50,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
$60 AZ Promo,TAB,,,,,,,,,,,,,,,,,,,100,720,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
$65 AZ Promo,TAB,,,,,,,,,,,,,,,,,,,100,960,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
$80 AZ Promo,TAB,,,,,,,,,,,,,,,,,,,100,1320,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
$95 AZ Promo,TAB,,,,,,,,,,,,,,,,,,,100,1152,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
$55 AZ Promo,TAB,,,,,,,,,,,,,,,,,,,100,528,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
$90 AZ Promo,TAB,,,,,,,,,,,,,,,,,,,100,960,,Promo MyTab Charge,21100,,,,,,,,,,,,,,,,
50P 50% Off x 6 Months,MRC,,,,,,,,,,,,,,,,,,,50,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
EP Rate Plan Discount,MRC,,,,,,,,,,,,,,,,,,,80,100,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
EP AddOn Discount,ADD-ON,,,,,,,,,,,,,,,,,,,80,120,Promo,Promo Add On,20100,,,,,,,,,,,,,,,,
