REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
1052,2015 Boxing Day $100,2015_Boxing_Day_$100,Y,[12/10/2015 TRahman] RITM0024975 2015 Boxing Day $100 Promo : ($50 Service Credit in monthly increments of $5 for 10 months.),,
1053,PAP Email Feb 2016,PAP_Email_Feb_2016,Y,[01/19/2016 TRahman] RITM0024363: PAP Email Feb 2016 Promo,,
1054,PBRetention_50,PBRetention_50,Y,[02/02/2016 TRahman] RITM0026380: PBRetention_50 2016,,
1056,$50 Service Credit,2016_$50_Service_Credit,Y,[03/01/2016 TRahman] RITM0027089 $50 Service Credit Promo : ($50 Service Credit in monthly increments of $5 for 10 months.),,
1057,Nexus 6P Upgrade Offer,Nexus_6P_Upgrade_Offer,Y,[03/16/2016 TRahman] RITM0027551: Additional $100 WINDtab,,
1058,Care_Below_2_5,Care_Below_2_5,Y,[3/30/2016 TRahman] RITM0027552  Care_Below_2_5 Promo 2016,,
1059,Care_Below_3_5,Care_Below_3_5,Y,[3/30/2016 TRahman] RITM0027552  Care_Below_3_5 Promo 2016,,
1060,Care_Below_4_5,Care_Below_4_5,Y,[3/30/2016 TRahman] RITM0027552  Care_Below_4_5 Promo 2016,,
1061,Care_Above_2_5_PA,Care_Above_2_5_PA,Y,[3/30/2016 TRahman] RITM0027552  Care_Above_2_5_PA Promo 2016,,
1062,Care_Above_3_5_PA,Care_Above_3_5_PA,Y,[3/30/2016 TRahman] RITM0027552  Care_Above_3_5_PA Promo 2016,,
1063,Care_Above_4_5_PA,Care_Above_4_5_PA,Y,[3/30/2016 TRahman] RITM0027552  Care_Above_4_5_PA Promo 2016,,
1064,Care_Above_2_5,Care_Above_2_5_PB,Y,[3/30/2016 TRahman] RITM0027552  Care_Above_2_5_PB Promo 2016,,
1065,Care_Above_3_5,Care_Above_3_5_PB,Y,[3/30/2016 TRahman] RITM0027552  Care_Above_3_5_PB Promo 2016,,
1066,Care_Above_4_5,Care_Above_4_5_PB,Y,[3/30/2016 TRahman] RITM0027552  Care_Above_4_5_PB Promo 2016,,
1067,Supervisor_Below_6_5,Supervisor_Below_6_5,Y,[4/18/2016 TRahman] RITM0028579  Supervisor_Below_6_5 Promo 2016,,
1068,Supervisor_Above_6_5_PA,Supervisor_Above_6_5_PA,Y,[4/18/2016 TRahman] RITM0028579  Supervisor_Above_6_5_PA Promo 2016,,
1069,Supervisor_Above_6_5,Supervisor_Above_6_5_PB,Y,[4/18/2016 TRahman] RITM0028579  Supervisor_Above_6_5_PB Promo 2016,,
1070,SPC 100 2016,SPC_100_2016,Y,[05/02/2016 TRahman]: RITM0028988 SPC 2016 Promo,,
1071,CPP Employee Promo PA,CPP_Employee_Promo_PA,Y,[5/10/2016 TRahman] PRB0044557  CPP Employee Promo PA Promo 2016,,
1072,Accessibility Above $5 PA,Accessibility_Above_$5_PA,Y,[5/10/2016 TRahman] RITM0029232  Accessibility Above $5 PA Promo 2016,,
1073,Accessibility Above $5 PB,Accessibility_Above_$5_PB,Y,[5/10/2016 TRahman] RITM0029232  Accessibility Above $5 PB Promo 2016,,
1074,EHU $100 Extra Tab Dis,EHU_$100_Extra_Tab_Dis,Y,[07/18/2016 TRahman] RITM0031289: EHU $100 Extra Tab Dis,,
1075,$50 Service Credit Everywhere 45 60 Smartphone 50,$50_Srv_Crd_Evrwhere_4560_Smartphone_50,Y,[25/07/2016 TRahman] RITM0031474 $50 Service Credit Everywhere 45 60 Smartphone 50 Promo : ($50 Service Credit Everywhere 45 60 Smartphone 50 in monthly increments of $5 for 10 months.),,
1077,Talk and Text 25 - $5 off for 6 Months,Talk_and_Text_25_$5_off_for_6_Months,Y,[09/09/2016 TRahman] RITM0032872: Talk and Text 25 - $5 off for 6 Months Promo : (Talk and Text 25 - $5 off for 6 Months in monthly increments of $5 for 10 months.),,
1078,One Month Free in 6th month for $40 and up plans,One_Month_Free_in_6th_month,Y,[13/09/2016 TRahman]: One Month Free in 6th month for $40 and up plans,,
1079,$50 PA Service Credit,2016_$50_PA_Service_Credit,Y,[09/27/2016 TRahman] RITM0033275 $50 PA Service Credit Promo 2016: ($50 PA Service Credit in monthly increments of $5 for 10 months.),,
1080,Everywhere Talk & Text 35 - $5 off for 6 months,Everywhere_35_$5_off_for_6_Months,Y,[09/27/2016 TRahman] RITM0033278: Everywhere Talk & Text 35 - $5 off for 6 months Promo : (Everywhere Talk & Text 35 - $5 off for 6 months in monthly increments of $5 for 10 months.),,
1081,$30 in Service Credits - $5 off for 6 months,$30_Service_Credits_$5_off_for_6_Months,Y,[11/14/2016 TRahman] RITM0035146: $30 in Service Credits - $5 off for 6 months Promo,,
1082,$60 in Service Credits - $5 off for 12 months,$60_Service_Credits_$5_off_for_12_Months,Y,[11/14/2016 TRahman] RITM0035146: $60 in Service Credits - $5 off for 12 months Promo,,
1083,LTE Promo Credit,LTE_Promo_Credit,Y,[11/29/2016 TRahman] RITM0035601: LTE Promo Credit Promo 2016,,
1084,US Roaming Seasonal Promo,US_Roaming_Seasonal_Promo,Y,[12/06/2016 TRahman] RITM0035686: US Roaming Seasonal Promo 2016,,
1085,Boxing Day $10 off 10 Months,Boxing_Day_$10_off_10_Months,Y,[12/14/2016 TRahman] RITM0036093: Boxing Day $10 off 10 Months Promo 2016,,
1086,$100 Service Credit,$100_Service_Credit,Y,[01/16/2017 TRahman] RITM0036783: $100 Service Credit Promo 2017,,
1087,$0 ZTE Grand X 4 with current $45/month and up rate plans,0_ZTE_GRAND_X_4_WITH_CURRENT_45MONTH_AND,Y,[01/18/2017 TRahman] RITM0036837: Free ZTE Grand X 4 with Smartphone 45 LTE and Everywhere 45/55 Plans 2017,,
1088,Chinese New Year Promotion 2017,Chinese_New_Year_Promotion_2017,Y,[01/20/2017 TRahman] RITM0036730: Chinese New Year Promotion 2017,,
1089,BYOD PAP 5$,BYOD_PAP_5$,Y,[02/13/2017 TRahman] RITM0037352: BYOD PAP 5$ 2017,,
1090,RETURN TO FREEDOM Offer,RETURN_TO_FREEDOM_Offer,Y,[02/21/2017 TRahman] RITM0037420: RETURN TO FREEDOM Offer Promo 2017,,
